id,name,email,loan_amount,paid_amount,balance_amount,status,tenure,months_completed,default_reason
555,Aaryan Iyer 298,aaryan.iyer.298@bank.com,1302400,1302400,0,Paid,60,60,N/A
556,Richard Taylor,richard.taylor@bank.com,533700,533700,0,Paid,36,36,N/A
557,Arjun Verma,arjun.verma@bank.com,61200,61200,0,Paid,48,48,N/A
558,Inaya Murthy 665,inaya.murthy.665@bank.com,1621300,1621300,0,Paid,48,48,N/A
559,Ashley Moore 645,ashley.moore.645@bank.com,1440400,1440400,0,Paid,60,60,N/A
560,Myra Patel,myra.patel@bank.com,1961200,1961200,0,Paid,12,12,N/A
561,Priya Das 515,priya.das.515@bank.com,675300,675300,0,Paid,48,48,N/A
562,Aadhya Reddy,aadhya.reddy@bank.com,1059200,1059200,0,Paid,12,12,N/A
563,Krishna Murthy,krishna.murthy@bank.com,449900,449900,0,Paid,48,48,N/A
564,Reyansh Kumar 314,reyansh.kumar.314@bank.com,752900,752900,0,Paid,24,24,N/A
565,Emily Davis 176,emily.davis.176@bank.com,1718300,526945.33,1191354.67,Defaulted,60,23,High Debt Consolidation
566,Krishna Murthy,krishna.murthy@bank.com,1954900,1954900,0,Paid,12,12,N/A
567,Saanvi Iyer 555,saanvi.iyer.555@bank.com,1907100,1907100,0,Paid,12,12,N/A
568,Nisha Bhatia,nisha.bhatia@bank.com,1619000,1619000,0,Paid,24,24,N/A
569,Karan Oberoi,karan.oberoi@bank.com,1297500,86500.0,1211000.0,Defaulted,24,2,High Debt Consolidation
570,Jessica Wilson 585,jessica.wilson.585@bank.com,644900,644900,0,Paid,60,60,N/A
571,Nisha Bhatia 669,nisha.bhatia.669@bank.com,143800,143800,0,Paid,60,60,N/A
572,Vikram Khanna,vikram.khanna@bank.com,1501600,1251333.33,250266.66999999993,Ongoing,24,20,N/A
573,Aaryan Iyer 188,aaryan.iyer.188@bank.com,232500,162750.0,69750.0,Ongoing,60,42,N/A
574,Arjun Verma 936,arjun.verma.936@bank.com,1883600,1883600,0,Paid,48,48,N/A
575,Saanvi Iyer 750,saanvi.iyer.750@bank.com,833200,833200,0,Paid,12,12,N/A
576,Aarav Sharma 754,aarav.sharma.754@bank.com,876800,876800,0,Paid,36,36,N/A
577,Krishna Murthy,krishna.murthy@bank.com,1776100,1776100,0,Paid,48,48,N/A
578,Jennifer Taylor 420,jennifer.taylor.420@bank.com,1996100,1996100,0,Paid,24,24,N/A
579,Ananya Iyer,ananya.iyer@bank.com,1872900,749160.0,1123740.0,Defaulted,24,12,Interest Rate Overrun
580,Shweta Aggarwal 290,shweta.aggarwal.290@bank.com,721300,163494.67,557805.33,Defaulted,60,17,High Debt Consolidation
581,Amit Joshi 134,amit.joshi.134@bank.com,812200,216586.67,595613.33,Defaulted,12,4,Unemployment / Job Loss
582,Sai Reddy,sai.reddy@bank.com,1463300,1463300,0,Paid,12,12,N/A
583,Priya Das 270,priya.das.270@bank.com,1235900,1235900,0,Paid,24,24,N/A
584,Jessica Wilson 778,jessica.wilson.778@bank.com,699200,93226.67,605973.33,Defaulted,36,6,Interest Rate Overrun
585,Rohan Sethi 713,rohan.sethi.713@bank.com,1601100,1601100,0,Paid,48,48,N/A
586,Vivaan Gupta 768,vivaan.gupta.768@bank.com,1342000,615083.33,726916.67,Ongoing,24,11,N/A
587,James Smith,james.smith@bank.com,1157000,1157000,0,Paid,12,12,N/A
588,Aditya Singh 621,aditya.singh.621@bank.com,1989200,1989200,0,Paid,24,24,N/A
589,Anvi Singh,anvi.singh@bank.com,862900,862900,0,Paid,12,12,N/A
590,Vikram Khanna 490,vikram.khanna.490@bank.com,1018000,1018000,0,Paid,24,24,N/A
591,Krishna Murthy,krishna.murthy@bank.com,1108400,1108400,0,Paid,60,60,N/A
592,Jennifer Taylor,jennifer.taylor@bank.com,387600,387600,0,Paid,48,48,N/A
593,Nisha Bhatia 803,nisha.bhatia.803@bank.com,839900,839900,0,Paid,60,60,N/A
594,Anvi Singh 482,anvi.singh.482@bank.com,69100,69100,0,Paid,36,36,N/A
595,Michael Johnson 109,michael.johnson.109@bank.com,1201100,320293.33,880806.6699999999,Defaulted,48,16,Medical Emergency / High Bills
596,Aditya Singh,aditya.singh@bank.com,490400,163466.67,326933.32999999996,Ongoing,24,8,N/A
597,Jessica Wilson 531,jessica.wilson.531@bank.com,358500,358500,0,Paid,12,12,N/A
598,Shweta Aggarwal,shweta.aggarwal@bank.com,210700,18728.89,191971.11,Defaulted,36,4,Unemployment / Job Loss
599,Myra Patel 485,myra.patel.485@bank.com,160000,160000,0,Paid,12,12,N/A
600,Anvi Singh 944,anvi.singh.944@bank.com,652800,652800,0,Paid,12,12,N/A
601,Saanvi Iyer 475,saanvi.iyer.475@bank.com,1577200,867460.0,709740.0,Ongoing,60,33,N/A
602,Sonal Kapoor,sonal.kapoor@bank.com,1271700,84780.0,1186920.0,Defaulted,24,2,Unemployment / Job Loss
603,Vikram Khanna 629,vikram.khanna.629@bank.com,271500,54300.0,217200.0,Defaulted,48,12,High Debt Consolidation
604,Krishna Murthy 560,krishna.murthy.560@bank.com,502100,133893.33,368206.67000000004,Defaulted,60,20,Medical Emergency / High Bills
605,Deepak Malhotra 970,deepak.malhotra.970@bank.com,1767600,471360.0,1296240.0,Defaulted,24,8,Personal/Family Crisis
606,David Brown 602,david.brown.602@bank.com,1520500,1520500,0,Paid,48,48,N/A
607,Deepak Malhotra,deepak.malhotra@bank.com,477900,477900,0,Paid,24,24,N/A
608,Amit Joshi 820,amit.joshi.820@bank.com,702400,526800.0,175600.0,Ongoing,48,36,N/A
609,Aditya Singh 650,aditya.singh.650@bank.com,1687200,1687200,0,Paid,24,24,N/A
610,Reyansh Kumar,reyansh.kumar@bank.com,1618300,438289.58,1180010.42,Ongoing,48,13,N/A
611,Vivaan Gupta 587,vivaan.gupta.587@bank.com,712800,712800,0,Paid,24,24,N/A
612,Vivaan Gupta 278,vivaan.gupta.278@bank.com,1339500,502312.5,837187.5,Ongoing,24,9,N/A
613,James Smith,james.smith@bank.com,1536000,102400.0,1433600.0,Defaulted,48,4,Interest Rate Overrun
614,Ashley Moore,ashley.moore@bank.com,193500,129000.0,64500.0,Ongoing,12,8,N/A
615,Emily Davis,emily.davis@bank.com,978400,978400,0,Paid,60,60,N/A
616,James Smith 985,james.smith.985@bank.com,1956700,1956700,0,Paid,60,60,N/A
617,James Smith,james.smith@bank.com,965000,965000,0,Paid,12,12,N/A
618,Vikram Khanna 265,vikram.khanna.265@bank.com,1189500,277550.0,911950.0,Defaulted,24,7,Business Multi-sector Failure
619,Aarav Sharma,aarav.sharma@bank.com,1903600,697986.67,1205613.33,Defaulted,48,22,Personal/Family Crisis
620,Diya Sharma 137,diya.sharma.137@bank.com,13200,13200,0,Paid,24,24,N/A
621,Priya Das,priya.das@bank.com,265400,265400,0,Paid,36,36,N/A
622,Karan Oberoi,karan.oberoi@bank.com,819800,819800,0,Paid,60,60,N/A
623,Rohan Sethi 225,rohan.sethi.225@bank.com,386600,386600,0,Paid,48,48,N/A
624,Rohan Sethi 501,rohan.sethi.501@bank.com,371100,371100,0,Paid,24,24,N/A
625,Diya Sharma,diya.sharma@bank.com,1779600,1779600,0,Paid,36,36,N/A
626,Myra Patel,myra.patel@bank.com,192000,192000,0,Paid,36,36,N/A
627,Ashley Moore 396,ashley.moore.396@bank.com,834300,834300,0,Paid,12,12,N/A
628,Myra Patel,myra.patel@bank.com,432200,129660.0,302540.0,Defaulted,48,18,High Debt Consolidation
629,James Smith,james.smith@bank.com,1006600,1006600,0,Paid,36,36,N/A
630,Jessica Wilson,jessica.wilson@bank.com,69500,69500,0,Paid,36,36,N/A
631,Inaya Murthy 388,inaya.murthy.388@bank.com,269500,269500,0,Paid,48,48,N/A
632,Aditya Singh 463,aditya.singh.463@bank.com,1976200,1070441.67,905758.3300000001,Ongoing,48,26,N/A
633,Jennifer Taylor 417,jennifer.taylor.417@bank.com,1481600,1481600,0,Paid,24,24,N/A
634,Ashley Moore,ashley.moore@bank.com,1401400,1401400,0,Paid,12,12,N/A
635,Richard Taylor 222,richard.taylor.222@bank.com,194100,194100,0,Paid,36,36,N/A
636,Zara Nair,zara.nair@bank.com,398300,398300,0,Paid,36,36,N/A
637,Richard Taylor 977,richard.taylor.977@bank.com,1502900,976885.0,526015.0,Ongoing,60,39,N/A
638,Vivaan Gupta 452,vivaan.gupta.452@bank.com,913100,913100,0,Paid,60,60,N/A
639,Pari Gupta,pari.gupta@bank.com,1030400,1030400,0,Paid,48,48,N/A
640,Reyansh Kumar,reyansh.kumar@bank.com,757800,757800,0,Paid,36,36,N/A
641,Rahul Mehra 674,rahul.mehra.674@bank.com,326300,326300,0,Paid,36,36,N/A
642,Aarav Sharma,aarav.sharma@bank.com,170900,170900,0,Paid,60,60,N/A
643,Jennifer Taylor 312,jennifer.taylor.312@bank.com,1724200,1724200,0,Paid,24,24,N/A
644,Robert Williams,robert.williams@bank.com,582000,582000,0,Paid,24,24,N/A
645,Emily Davis 788,emily.davis.788@bank.com,1457700,583080.0,874620.0,Defaulted,12,6,Personal/Family Crisis
646,Karan Oberoi,karan.oberoi@bank.com,542300,515185.0,27115.0,Ongoing,60,57,N/A
647,Aaryan Iyer 465,aaryan.iyer.465@bank.com,1142100,76140.0,1065960.0,Defaulted,36,3,Medical Emergency / High Bills
648,Ananya Iyer 254,ananya.iyer.254@bank.com,1640100,1640100,0,Paid,12,12,N/A
649,Shanaya Kumar 638,shanaya.kumar.638@bank.com,1072200,1072200,0,Paid,24,24,N/A
650,Sonal Kapoor,sonal.kapoor@bank.com,870400,870400,0,Paid,36,36,N/A
651,Robert Williams 139,robert.williams.139@bank.com,96900,96900,0,Paid,60,60,N/A
652,Arjun Verma,arjun.verma@bank.com,309700,309700,0,Paid,24,24,N/A
653,Pari Gupta,pari.gupta@bank.com,790600,790600,0,Paid,48,48,N/A
654,Zara Nair,zara.nair@bank.com,321500,64300.0,257200.0,Defaulted,12,3,Unemployment / Job Loss
655,Amit Joshi,amit.joshi@bank.com,1840900,1534083.33,306816.6699999999,Ongoing,12,10,N/A
656,Shweta Aggarwal 603,shweta.aggarwal.603@bank.com,1056500,1056500,0,Paid,36,36,N/A
657,Aditya Singh,aditya.singh@bank.com,504800,504800,0,Paid,48,48,N/A
658,Aadhya Reddy 700,aadhya.reddy.700@bank.com,1912300,1912300,0,Paid,60,60,N/A
659,Vivaan Gupta 281,vivaan.gupta.281@bank.com,35100,13104.0,21996.0,Defaulted,60,28,Personal/Family Crisis
660,Aarav Sharma 831,aarav.sharma.831@bank.com,1762900,39175.56,1723724.44,Defaulted,36,1,Unemployment / Job Loss
661,Jessica Wilson 913,jessica.wilson.913@bank.com,590300,590300,0,Paid,60,60,N/A
662,Sai Reddy,sai.reddy@bank.com,786900,786900,0,Paid,60,60,N/A
663,Anvi Singh 308,anvi.singh.308@bank.com,349200,349200,0,Paid,24,24,N/A
664,Jessica Wilson 901,jessica.wilson.901@bank.com,467600,467600,0,Paid,12,12,N/A
665,Nisha Bhatia 624,nisha.bhatia.624@bank.com,1996700,1996700,0,Paid,12,12,N/A
666,Ashley Moore,ashley.moore@bank.com,119300,27339.58,91960.42,Ongoing,48,11,N/A
667,Sai Reddy 569,sai.reddy.569@bank.com,564300,564300,0,Paid,60,60,N/A
668,James Smith 317,james.smith.317@bank.com,1477000,1477000,0,Paid,48,48,N/A
669,Inaya Murthy,inaya.murthy@bank.com,1346800,1346800,0,Paid,24,24,N/A
670,Sonal Kapoor 893,sonal.kapoor.893@bank.com,1349800,1349800,0,Paid,36,36,N/A
671,Pari Gupta,pari.gupta@bank.com,1027300,410920.0,616380.0,Defaulted,12,6,Business Multi-sector Failure
672,David Brown 850,david.brown.850@bank.com,1015700,1015700,0,Paid,60,60,N/A
673,Robert Williams,robert.williams@bank.com,342000,342000,0,Paid,60,60,N/A
674,David Brown,david.brown@bank.com,103000,103000,0,Paid,48,48,N/A
675,Jennifer Taylor,jennifer.taylor@bank.com,441600,441600,0,Paid,24,24,N/A
676,Karan Oberoi 808,karan.oberoi.808@bank.com,1796200,1796200,0,Paid,36,36,N/A
677,Zara Nair,zara.nair@bank.com,1758000,703200.0,1054800.0,Defaulted,12,6,Medical Emergency / High Bills
678,Aditya Singh,aditya.singh@bank.com,1316400,1316400,0,Paid,12,12,N/A
679,Diya Sharma,diya.sharma@bank.com,1371700,1371700,0,Paid,24,24,N/A
680,Sai Reddy 409,sai.reddy.409@bank.com,290800,290800,0,Paid,24,24,N/A
681,Karan Oberoi,karan.oberoi@bank.com,274400,274400,0,Paid,48,48,N/A
682,Vihaan Patel 744,vihaan.patel.744@bank.com,1607000,294616.67,1312383.33,Ongoing,60,11,N/A
683,Saanvi Iyer 711,saanvi.iyer.711@bank.com,1752800,1168533.33,584266.6699999999,Ongoing,12,8,N/A
684,Shanaya Kumar 522,shanaya.kumar.522@bank.com,1073700,1073700,0,Paid,60,60,N/A
685,Deepak Malhotra,deepak.malhotra@bank.com,520400,138773.33,381626.67000000004,Defaulted,48,16,High Debt Consolidation
686,Aarav Sharma 187,aarav.sharma.187@bank.com,1189400,1189400,0,Paid,24,24,N/A
687,Aaryan Iyer,aaryan.iyer@bank.com,520700,520700,0,Paid,24,24,N/A
688,Vikram Khanna,vikram.khanna@bank.com,100900,100900,0,Paid,48,48,N/A
689,Myra Patel 204,myra.patel.204@bank.com,677900,677900,0,Paid,24,24,N/A
690,Sai Reddy 739,sai.reddy.739@bank.com,1243600,932700.0,310900.0,Ongoing,12,9,N/A
691,Ashley Moore,ashley.moore@bank.com,753800,753800,0,Paid,60,60,N/A
692,James Smith 103,james.smith.103@bank.com,1471500,1471500,0,Paid,36,36,N/A
693,Aadhya Reddy,aadhya.reddy@bank.com,1401000,429640.0,971360.0,Defaulted,60,23,Business Multi-sector Failure
694,Reyansh Kumar,reyansh.kumar@bank.com,813200,813200,0,Paid,24,24,N/A
695,Aditya Singh,aditya.singh@bank.com,1259400,1259400,0,Paid,24,24,N/A
696,Jennifer Taylor,jennifer.taylor@bank.com,779600,779600,0,Paid,36,36,N/A
697,Ishaan Nair,ishaan.nair@bank.com,964600,964600,0,Paid,60,60,N/A
698,Zara Nair 436,zara.nair.436@bank.com,416900,416900,0,Paid,12,12,N/A
699,Ishaan Nair,ishaan.nair@bank.com,352100,352100,0,Paid,12,12,N/A
700,Vihaan Patel,vihaan.patel@bank.com,204500,204500,0,Paid,24,24,N/A
701,Jennifer Taylor 250,jennifer.taylor.250@bank.com,1217800,1217800,0,Paid,48,48,N/A
702,Amit Joshi,amit.joshi@bank.com,1099800,1099800,0,Paid,36,36,N/A
703,Pari Gupta 609,pari.gupta.609@bank.com,1809700,1809700,0,Paid,12,12,N/A
704,Aadhya Reddy,aadhya.reddy@bank.com,1653000,1653000,0,Paid,12,12,N/A
705,Vikram Khanna 142,vikram.khanna.142@bank.com,1068400,1068400,0,Paid,12,12,N/A
706,Anvi Singh,anvi.singh@bank.com,1527700,700195.83,827504.17,Ongoing,24,11,N/A
707,Priya Das,priya.das@bank.com,57300,57300,0,Paid,48,48,N/A
708,Aaryan Iyer 724,aaryan.iyer.724@bank.com,1759200,1759200,0,Paid,36,36,N/A
709,Reyansh Kumar,reyansh.kumar@bank.com,1840400,552120.0,1288280.0,Defaulted,48,18,Business Multi-sector Failure
710,Karan Oberoi,karan.oberoi@bank.com,249000,249000,0,Paid,12,12,N/A
711,Diya Sharma,diya.sharma@bank.com,1627400,1446577.78,180822.21999999997,Ongoing,36,32,N/A
712,Aaryan Iyer 878,aaryan.iyer.878@bank.com,1957200,1957200,0,Paid,48,48,N/A
713,Aaryan Iyer,aaryan.iyer@bank.com,502900,195572.22,307327.78,Ongoing,36,14,N/A
714,Sonal Kapoor,sonal.kapoor@bank.com,1191400,1191400,0,Paid,36,36,N/A
715,Krishna Murthy,krishna.murthy@bank.com,1349300,1349300,0,Paid,12,12,N/A
716,Pari Gupta 900,pari.gupta.900@bank.com,1463300,1463300,0,Paid,24,24,N/A
717,Aaryan Iyer 767,aaryan.iyer.767@bank.com,1128600,1128600,0,Paid,12,12,N/A
718,Priya Das 339,priya.das.339@bank.com,530100,530100,0,Paid,36,36,N/A
719,Krishna Murthy 187,krishna.murthy.187@bank.com,1483300,1483300,0,Paid,48,48,N/A
720,Anvi Singh,anvi.singh@bank.com,1965100,131006.67,1834093.33,Defaulted,12,1,Business Multi-sector Failure
721,Inaya Murthy 867,inaya.murthy.867@bank.com,770900,770900,0,Paid,60,60,N/A
722,Sai Reddy 336,sai.reddy.336@bank.com,1759400,1759400,0,Paid,36,36,N/A
723,Saanvi Iyer 740,saanvi.iyer.740@bank.com,37100,27825.0,9275.0,Ongoing,48,36,N/A
724,Shweta Aggarwal 153,shweta.aggarwal.153@bank.com,1569600,1569600,0,Paid,60,60,N/A
725,Jessica Wilson,jessica.wilson@bank.com,1744200,1744200,0,Paid,60,60,N/A
726,Aditya Singh 289,aditya.singh.289@bank.com,393000,393000,0,Paid,36,36,N/A
727,Myra Patel,myra.patel@bank.com,527300,193343.33,333956.67000000004,Defaulted,24,11,Unemployment / Job Loss
728,Sarah Miller,sarah.miller@bank.com,1270900,1270900,0,Paid,36,36,N/A
729,Sai Reddy 345,sai.reddy.345@bank.com,899500,899500,0,Paid,12,12,N/A
730,Robert Williams 910,robert.williams.910@bank.com,527800,527800,0,Paid,36,36,N/A
731,Diya Sharma 590,diya.sharma.590@bank.com,991100,991100,0,Paid,24,24,N/A
732,Saanvi Iyer 327,saanvi.iyer.327@bank.com,900600,900600,0,Paid,12,12,N/A
733,Pari Gupta 395,pari.gupta.395@bank.com,1428800,1428800,0,Paid,60,60,N/A
734,Vivaan Gupta,vivaan.gupta@bank.com,112200,112200,0,Paid,24,24,N/A
735,Richard Taylor,richard.taylor@bank.com,1208900,1208900,0,Paid,24,24,N/A
736,Shweta Aggarwal,shweta.aggarwal@bank.com,1894000,1420500.0,473500.0,Ongoing,24,18,N/A
737,Aditya Singh 734,aditya.singh.734@bank.com,1221600,1221600,0,Paid,12,12,N/A
738,Michael Johnson 572,michael.johnson.572@bank.com,420800,420800,0,Paid,60,60,N/A
739,Anvi Singh,anvi.singh@bank.com,667300,667300,0,Paid,60,60,N/A
740,Michael Johnson 917,michael.johnson.917@bank.com,391000,391000,0,Paid,48,48,N/A
741,Shweta Aggarwal 625,shweta.aggarwal.625@bank.com,1389900,1389900,0,Paid,24,24,N/A
742,Vikram Khanna 656,vikram.khanna.656@bank.com,302000,302000,0,Paid,24,24,N/A
743,Reyansh Kumar,reyansh.kumar@bank.com,236900,236900,0,Paid,48,48,N/A
744,Diya Sharma,diya.sharma@bank.com,944800,944800,0,Paid,36,36,N/A
745,Jessica Wilson 820,jessica.wilson.820@bank.com,1233400,131562.67,1101837.33,Defaulted,60,8,Unemployment / Job Loss
746,Aaryan Iyer 918,aaryan.iyer.918@bank.com,1810500,1810500,0,Paid,36,36,N/A
747,Aadhya Reddy 957,aadhya.reddy.957@bank.com,723000,723000,0,Paid,12,12,N/A
748,Vihaan Patel 216,vihaan.patel.216@bank.com,734200,176208.0,557992.0,Defaulted,60,18,Medical Emergency / High Bills
749,Sarah Miller 808,sarah.miller.808@bank.com,1696200,1696200,0,Paid,48,48,N/A
750,Jessica Wilson 314,jessica.wilson.314@bank.com,740400,740400,0,Paid,48,48,N/A
751,Nisha Bhatia 130,nisha.bhatia.130@bank.com,1124400,562200.0,562200.0,Ongoing,12,6,N/A
752,Rohan Sethi 296,rohan.sethi.296@bank.com,1499000,1499000,0,Paid,60,60,N/A
753,Emily Davis,emily.davis@bank.com,174200,174200,0,Paid,12,12,N/A
754,Ashley Moore,ashley.moore@bank.com,1731600,1731600,0,Paid,36,36,N/A
755,Vivaan Gupta 615,vivaan.gupta.615@bank.com,1377900,1377900,0,Paid,36,36,N/A
756,Aadhya Reddy 671,aadhya.reddy.671@bank.com,1322300,477497.22,844802.78,Ongoing,36,13,N/A
757,Shanaya Kumar,shanaya.kumar@bank.com,1065400,1065400,0,Paid,36,36,N/A
758,Aarav Sharma 180,aarav.sharma.180@bank.com,1724600,1724600,0,Paid,12,12,N/A
759,Krishna Murthy 428,krishna.murthy.428@bank.com,1490600,1490600,0,Paid,60,60,N/A
760,Karan Oberoi,karan.oberoi@bank.com,1890800,1890800,0,Paid,36,36,N/A
761,Vihaan Patel 283,vihaan.patel.283@bank.com,1346000,1346000,0,Paid,60,60,N/A
762,Ishaan Nair 372,ishaan.nair.372@bank.com,1360200,453400.0,906800.0,Defaulted,48,20,Unemployment / Job Loss
763,Vikram Khanna 994,vikram.khanna.994@bank.com,1643500,1643500,0,Paid,60,60,N/A
764,Aditya Singh 684,aditya.singh.684@bank.com,950800,792333.33,158466.67000000004,Ongoing,48,40,N/A
765,David Brown 195,david.brown.195@bank.com,1755200,1755200,0,Paid,24,24,N/A
766,Aaryan Iyer 540,aaryan.iyer.540@bank.com,1090900,1090900,0,Paid,12,12,N/A
767,Ananya Iyer 402,ananya.iyer.402@bank.com,1369900,1369900,0,Paid,24,24,N/A
768,Shanaya Kumar,shanaya.kumar@bank.com,1893100,1893100,0,Paid,48,48,N/A
769,Vihaan Patel 492,vihaan.patel.492@bank.com,1236000,1236000,0,Paid,36,36,N/A
770,Ashley Moore 329,ashley.moore.329@bank.com,854400,854400,0,Paid,36,36,N/A
771,Pari Gupta,pari.gupta@bank.com,1658000,1658000,0,Paid,12,12,N/A
772,Jennifer Taylor 344,jennifer.taylor.344@bank.com,1747200,660053.33,1087146.67,Defaulted,36,17,High Debt Consolidation
773,Reyansh Kumar 965,reyansh.kumar.965@bank.com,137100,137100,0,Paid,36,36,N/A
774,Sarah Miller 118,sarah.miller.118@bank.com,1845400,1845400,0,Paid,48,48,N/A
775,Ishaan Nair,ishaan.nair@bank.com,671700,671700,0,Paid,48,48,N/A
776,Vivaan Gupta 220,vivaan.gupta.220@bank.com,1219500,1219500,0,Paid,12,12,N/A
777,Anvi Singh 330,anvi.singh.330@bank.com,1021300,1021300,0,Paid,24,24,N/A
778,Aaryan Iyer 393,aaryan.iyer.393@bank.com,1347000,1347000,0,Paid,48,48,N/A
779,Nisha Bhatia 690,nisha.bhatia.690@bank.com,416300,83260.0,333040.0,Defaulted,12,3,Business Multi-sector Failure
780,Myra Patel,myra.patel@bank.com,1895800,1895800,0,Paid,60,60,N/A
781,David Brown 876,david.brown.876@bank.com,279200,279200,0,Paid,48,48,N/A
782,Saanvi Iyer,saanvi.iyer@bank.com,646200,204630.0,441570.0,Defaulted,48,19,Business Multi-sector Failure
783,Zara Nair 819,zara.nair.819@bank.com,140600,140600,0,Paid,48,48,N/A
784,Saanvi Iyer,saanvi.iyer@bank.com,583600,259377.78,324222.22,Ongoing,36,16,N/A
785,Myra Patel 222,myra.patel.222@bank.com,585700,585700,0,Paid,12,12,N/A
786,Reyansh Kumar,reyansh.kumar@bank.com,1502300,1502300,0,Paid,60,60,N/A
787,Ashley Moore 807,ashley.moore.807@bank.com,1083600,180600.0,903000.0,Ongoing,12,2,N/A
788,James Smith 278,james.smith.278@bank.com,846500,56433.33,790066.67,Defaulted,12,1,High Debt Consolidation
789,Michael Johnson,michael.johnson@bank.com,473400,473400,0,Paid,24,24,N/A
790,Karan Oberoi 683,karan.oberoi.683@bank.com,15800,13605.56,2194.4400000000005,Ongoing,36,31,N/A
791,Zara Nair,zara.nair@bank.com,473600,370986.67,102613.33000000002,Ongoing,60,47,N/A
792,Diya Sharma 511,diya.sharma.511@bank.com,1549900,1549900,0,Paid,48,48,N/A
793,Emily Davis 669,emily.davis.669@bank.com,339700,339700,0,Paid,60,60,N/A
794,Rahul Mehra 915,rahul.mehra.915@bank.com,1146800,1146800,0,Paid,48,48,N/A
795,Myra Patel 598,myra.patel.598@bank.com,1162100,1162100,0,Paid,24,24,N/A
796,Vihaan Patel 755,vihaan.patel.755@bank.com,1330700,53228.0,1277472.0,Defaulted,60,3,High Debt Consolidation
797,Nisha Bhatia 688,nisha.bhatia.688@bank.com,1334600,1334600,0,Paid,36,36,N/A
798,Deepak Malhotra 553,deepak.malhotra.553@bank.com,705800,705800,0,Paid,24,24,N/A
799,Arjun Verma,arjun.verma@bank.com,1136800,284200.0,852600.0,Ongoing,12,3,N/A
800,Sai Reddy,sai.reddy@bank.com,1611800,483540.0,1128260.0,Defaulted,24,9,High Debt Consolidation
801,Ishaan Nair 747,ishaan.nair.747@bank.com,322400,322400,0,Paid,60,60,N/A
802,Rohan Sethi 383,rohan.sethi.383@bank.com,1983200,1983200,0,Paid,12,12,N/A
803,Rohan Sethi,rohan.sethi@bank.com,1242000,386400.0,855600.0,Defaulted,36,14,Business Multi-sector Failure
804,Amit Joshi 460,amit.joshi.460@bank.com,1361200,1361200,0,Paid,60,60,N/A
805,David Brown 580,david.brown.580@bank.com,93300,93300,0,Paid,60,60,N/A
806,Diya Sharma 655,diya.sharma.655@bank.com,1713600,1713600,0,Paid,48,48,N/A
807,Krishna Murthy 294,krishna.murthy.294@bank.com,1433000,1433000,0,Paid,36,36,N/A
808,Rohan Sethi,rohan.sethi@bank.com,1887900,1887900,0,Paid,36,36,N/A
809,Shweta Aggarwal,shweta.aggarwal@bank.com,623100,623100,0,Paid,48,48,N/A
810,Shanaya Kumar 725,shanaya.kumar.725@bank.com,1027400,1027400,0,Paid,12,12,N/A
811,Reyansh Kumar,reyansh.kumar@bank.com,1201900,427342.22,774557.78,Defaulted,36,16,Unemployment / Job Loss
812,Arjun Verma,arjun.verma@bank.com,861000,861000,0,Paid,36,36,N/A
813,Priya Das,priya.das@bank.com,1749000,1749000,0,Paid,60,60,N/A
814,Arjun Verma,arjun.verma@bank.com,992500,992500,0,Paid,36,36,N/A
815,Vikram Khanna,vikram.khanna@bank.com,529000,470222.22,58777.78000000003,Ongoing,36,32,N/A
816,Reyansh Kumar,reyansh.kumar@bank.com,714000,714000,0,Paid,60,60,N/A
817,Michael Johnson 151,michael.johnson.151@bank.com,233600,233600,0,Paid,48,48,N/A
818,Rohan Sethi,rohan.sethi@bank.com,929600,185920.0,743680.0,Defaulted,24,6,Medical Emergency / High Bills
819,Shanaya Kumar,shanaya.kumar@bank.com,1569400,83701.33,1485698.67,Defaulted,60,4,High Debt Consolidation
820,Jennifer Taylor 159,jennifer.taylor.159@bank.com,1214900,1214900,0,Paid,36,36,N/A
821,Vihaan Patel 944,vihaan.patel.944@bank.com,1877700,1877700,0,Paid,12,12,N/A
822,Pari Gupta,pari.gupta@bank.com,341800,341800,0,Paid,12,12,N/A
823,Ananya Iyer 637,ananya.iyer.637@bank.com,1564800,1564800,0,Paid,24,24,N/A
824,Vivaan Gupta,vivaan.gupta@bank.com,821700,821700,0,Paid,48,48,N/A
825,Priya Das 452,priya.das.452@bank.com,560900,350562.5,210337.5,Ongoing,24,15,N/A
826,Zara Nair 763,zara.nair.763@bank.com,1025000,683333.33,341666.67000000004,Ongoing,24,16,N/A
827,David Brown 221,david.brown.221@bank.com,150300,150300,0,Paid,48,48,N/A
828,Robert Williams 652,robert.williams.652@bank.com,571000,571000,0,Paid,12,12,N/A
829,Robert Williams 628,robert.williams.628@bank.com,176300,176300,0,Paid,48,48,N/A
830,Aarav Sharma,aarav.sharma@bank.com,1439500,1439500,0,Paid,48,48,N/A
831,Priya Das 884,priya.das.884@bank.com,22200,22200,0,Paid,48,48,N/A
832,Deepak Malhotra,deepak.malhotra@bank.com,1826800,487146.67,1339653.33,Defaulted,24,8,High Debt Consolidation
833,Priya Das 132,priya.das.132@bank.com,30600,26350.0,4250.0,Ongoing,36,31,N/A
834,Rohan Sethi,rohan.sethi@bank.com,974700,974700,0,Paid,12,12,N/A
835,Vivaan Gupta,vivaan.gupta@bank.com,599600,239840.0,359760.0,Defaulted,12,6,Medical Emergency / High Bills
