name,age,credit_score,income,loan_amount,employment_type,existing_emi,tenure,loan_type,default_status
Aditya Patel,68,403,256743,79662,Government,7811,12,Business Loan,1
Priya Sethi,67,319,458121,435706,Government,0,60,Auto Loan,1
Saanvi Malhotra,34,486,638279,1920291,Business,0,18,Business Loan,1
Vikram Malhotra 51,68,426,1660709,5975763,Government,0,18,Business Loan,1
Nisha Johnson,54,802,307162,116104,Salaried,0,24,Home Loan,1
Vikram Martinez,43,786,1072630,591921,Contract,0,24,Business Loan,0
Patricia Smith,30,393,1382898,935468,Salaried,25735,6,Home Loan,1
Mary Khanna,58,310,409547,1054236,Self-employed,3026,36,Auto Loan,1
Jennifer Mehra 19,40,801,505595,238861,Business,9587,12,Home Loan,0
Mary Jones,67,597,320684,140426,Salaried,0,36,Education Loan,0
Arjun Sethi,38,672,528566,1193945,Government,3844,24,Personal Loan,1
Amit Malhotra 6,45,512,584227,792694,Government,0,36,Education Loan,0
Zara Patel,46,771,887168,1693377,Business,0,24,Business Loan,0
Robert Sethi 92,26,525,1148663,1898783,Contract,0,36,Auto Loan,0
Vikram Jones,28,733,381223,1894585,Business,2536,12,Auto Loan,1
Michael Malhotra,46,397,183433,50000,Business,1171,36,Personal Loan,1
Pari Verma 72,33,732,589631,1153009,Business,1126,36,Personal Loan,1
Inaya Singh,50,333,712206,266762,Government,5142,18,Personal Loan,0
Nisha Singh,58,639,693599,334864,Self-employed,6297,18,Personal Loan,0
Rohan Singh,65,605,490900,511145,Self-employed,713,48,Education Loan,0
Karan Garcia,69,399,643611,1240500,Contract,0,36,Auto Loan,1
Rohan Joshi,49,413,1482539,3380485,Business,0,60,Home Loan,1
Priya Joshi,51,300,750909,887724,Contract,0,12,Home Loan,1
Karan Sharma,39,573,477337,2330183,Contract,0,36,Home Loan,1
Aadhya Joshi,55,423,442360,1945755,Salaried,12674,24,Education Loan,1
Arjun Verma,51,314,539333,555746,Business,0,60,Auto Loan,0
Anvi Reddy,59,706,1594457,7413113,Self-employed,0,48,Personal Loan,1
Patricia Garcia 93,32,617,534998,615136,Government,0,24,Home Loan,0
Karan Martinez,45,482,590144,339741,Self-employed,18773,18,Personal Loan,1
Mary Khanna,28,434,447133,109502,Contract,0,36,Auto Loan,0
Rahul Nair,24,328,1154744,2888889,Contract,0,12,Home Loan,1
David Mehra 80,38,364,1935550,8479512,Business,0,6,Personal Loan,1
Anvi Das,41,567,782592,2074783,Self-employed,14571,60,Business Loan,1
Jessica Reddy 63,60,302,627603,2904574,Salaried,4303,48,Education Loan,1
Saanvi Sethi 87,54,621,610522,1254352,Self-employed,0,24,Business Loan,0
Karan Jones,46,482,150000,526691,Government,0,36,Education Loan,1
Aarav Verma,32,385,933868,1474808,Business,24858,12,Education Loan,1
Linda Patel 66,68,452,647257,2959180,Contract,2597,18,Business Loan,1
Robert Sharma,24,479,772204,2212565,Government,0,24,Business Loan,1
Priya Joshi,42,811,389696,1055331,Self-employed,7649,12,Auto Loan,1
Deepak Mehra 100,23,715,474172,1338229,Business,0,36,Home Loan,1
Mary Miller 80,45,327,466673,971478,Self-employed,3054,48,Home Loan,1
Deepak Iyer,65,814,1102370,3857996,Government,0,60,Auto Loan,0
Jessica Williams 25,63,424,475795,1577433,Contract,14220,24,Auto Loan,1
Mary Nair 67,28,480,2083575,6478562,Government,0,18,Education Loan,1
Myra Bhatia,67,655,773373,2397891,Salaried,15141,6,Home Loan,1
Myra Bhatia,27,422,277781,778738,Business,401,60,Personal Loan,1
David Sharma,33,390,552866,1925329,Government,0,48,Home Loan,1
Deepak Johnson,37,568,403929,1855110,Self-employed,13099,48,Education Loan,1
Aadhya Nair 23,55,681,160070,121055,Salaried,3597,24,Auto Loan,0
Vikram Garcia,44,733,1559198,5928527,Self-employed,0,6,Education Loan,1
Aarav Khanna,66,467,910624,1025053,Government,19909,12,Auto Loan,0
Arjun Brown 1,35,676,822352,2194885,Self-employed,25417,48,Business Loan,1
Aadhya Joshi,64,742,659503,2138868,Business,0,18,Personal Loan,1
Myra Nair,69,671,260612,796870,Contract,5425,60,Education Loan,0
Anvi Nair 77,30,749,446783,1124318,Salaried,0,48,Education Loan,0
Priya Garcia,41,591,989612,844191,Salaried,0,48,Education Loan,0
Ishaan Miller 74,28,490,317828,979526,Contract,2524,48,Auto Loan,1
Myra Sharma 55,68,520,150000,135205,Salaried,0,6,Business Loan,0
Jennifer Singh 46,51,740,521120,576789,Contract,11275,6,Business Loan,1
Linda Singh,61,784,548501,820423,Contract,3750,18,Business Loan,0
Karan Murthy,54,737,647800,2206122,Salaried,0,48,Education Loan,1
Myra Reddy 34,22,641,924595,1189606,Salaried,17002,18,Education Loan,1
Pari Smith,67,426,875511,2049891,Government,0,24,Personal Loan,1
Amit Sharma 72,56,476,697502,2832074,Government,0,12,Auto Loan,1
Saanvi Sethi,65,755,1223613,1760046,Salaried,40313,36,Business Loan,1
Jessica Sethi,65,784,240053,808509,Salaried,5445,12,Auto Loan,1
Aadhya Davis 81,42,486,808348,3399560,Business,21315,24,Education Loan,1
Aditya Verma,25,417,869716,1130363,Salaried,28247,12,Education Loan,1
James Murthy,41,426,283867,536893,Self-employed,0,60,Home Loan,0
Aditya Miller 73,48,329,242383,848135,Government,7305,60,Home Loan,1
Diya Sharma 2,63,363,381716,779999,Salaried,11827,48,Personal Loan,1
Anvi Verma,35,482,401545,1143606,Business,0,48,Personal Loan,1
Aditya Patel,38,506,938512,4297191,Contract,25569,18,Home Loan,1
Deepak Davis,27,659,413030,1871337,Business,0,18,Personal Loan,1
Amit Khanna 14,29,724,357249,1326699,Contract,0,60,Business Loan,0
Aadhya Smith,36,849,413751,489188,Contract,6904,18,Business Loan,1
Barbara Nair,69,715,1168439,3098106,Business,37421,60,Home Loan,0
Nisha Iyer,48,638,601887,1753259,Self-employed,4897,48,Auto Loan,0
Michael Jones 33,60,522,536300,120000,Contract,0,24,Education Loan,0
Jennifer Singh 22,69,539,559051,268393,Government,0,60,Auto Loan,0
Barbara Johnson,64,453,1296574,3720601,Salaried,43155,36,Home Loan,1
Amit Singh,55,399,380978,1347271,Self-employed,698,6,Personal Loan,1
Michael Smith,65,559,1314944,1874162,Self-employed,36952,12,Auto Loan,1
Mary Martinez,57,639,677590,382249,Salaried,0,18,Auto Loan,0
Deepak Sharma,69,837,542394,1774043,Self-employed,0,18,Auto Loan,0
Ishaan Johnson 2,21,307,2677891,7388196,Contract,46512,24,Business Loan,1
Vikram Mehra,49,469,316987,306998,Contract,0,24,Education Loan,0
Amit Miller 73,35,663,483008,762783,Contract,0,6,Business Loan,1
Patricia Martinez 10,58,341,285084,381115,Government,840,6,Home Loan,1
Robert Oberoi 85,41,524,1057562,1269525,Contract,0,48,Auto Loan,0
Saanvi Sethi,22,806,1645431,2420528,Government,25941,12,Education Loan,1
Mary Martinez 69,26,406,1626520,4422460,Contract,0,60,Personal Loan,0
James Johnson,63,672,1244655,5578195,Contract,28498,24,Personal Loan,1
David Patel 53,58,716,530421,1324385,Self-employed,0,18,Auto Loan,1
Linda Miller 1,32,780,479670,590285,Government,3346,6,Auto Loan,0
Arjun Sharma 95,48,484,219103,677993,Government,5611,12,Business Loan,1
Saanvi Davis,37,474,2025899,4265904,Business,19667,24,Personal Loan,1
Jessica Sharma 68,57,639,791263,3718632,Contract,23036,12,Personal Loan,1
Mary Brown,67,332,444553,2054531,Business,0,24,Education Loan,1
David Das 54,37,658,1324882,5022288,Business,0,12,Auto Loan,1
Jessica Jones 84,39,398,333147,713827,Self-employed,0,48,Business Loan,1
Arjun Bhatia,24,526,762206,953458,Contract,0,60,Business Loan,0
Deepak Brown 55,64,704,538435,163197,Contract,0,60,Education Loan,0
Barbara Sharma 93,56,399,876074,2813214,Salaried,14802,6,Business Loan,1
Aditya Bhatia,22,755,574845,2518979,Self-employed,0,60,Education Loan,0
Diya Martinez,38,622,250056,1118132,Contract,6556,6,Personal Loan,1
Aditya Gupta,56,630,624899,2401202,Contract,0,18,Business Loan,1
Nisha Garcia 22,28,446,1120536,2596824,Contract,11957,24,Personal Loan,1
Nisha Singh,48,817,586818,794248,Government,0,6,Personal Loan,1
Michael Rodriguez,37,773,950809,547191,Self-employed,0,18,Education Loan,0
Inaya Oberoi,26,533,318915,91535,Salaried,0,12,Business Loan,0
Michael Martinez,28,641,587859,811012,Contract,4694,18,Education Loan,1
Priya Bhatia,31,588,410566,88638,Government,0,6,Personal Loan,0
Saanvi Singh 9,45,393,934894,2561758,Self-employed,17885,36,Business Loan,0
Diya Jones,43,317,608586,2079196,Contract,0,24,Education Loan,1
Rahul Miller,69,507,903511,1849443,Salaried,0,6,Auto Loan,1
Mary Williams,27,838,1146960,5536241,Salaried,0,6,Auto Loan,1
Deepak Joshi 81,60,545,904349,3611932,Self-employed,6234,6,Business Loan,0
Michael Nair 65,58,754,703533,2173893,Business,5327,48,Business Loan,0
Jennifer Williams 38,62,405,328099,99693,Contract,4045,6,Business Loan,1
Zara Sethi 25,52,694,596198,869560,Business,3842,12,Personal Loan,1
Linda Sethi 47,30,438,433716,1799725,Business,0,60,Education Loan,1
Ishaan Gupta,25,565,485804,309670,Self-employed,11925,12,Auto Loan,1
Inaya Davis,34,494,477003,2219541,Self-employed,0,24,Personal Loan,1
Rahul Verma,63,549,331719,850761,Self-employed,9602,24,Business Loan,1
Pari Nair 16,34,679,184535,680041,Self-employed,933,60,Personal Loan,1
Aarav Iyer,63,350,399957,1054040,Contract,11799,12,Personal Loan,1
Karan Gupta 78,26,732,670666,2780100,Salaried,0,60,Education Loan,0
Jessica Martinez,53,421,265958,749704,Business,0,60,Auto Loan,1
Barbara Gupta,55,554,602841,2675961,Business,11274,18,Education Loan,1
Nisha Johnson 76,48,812,1867593,698038,Government,35413,12,Auto Loan,0
Ishaan Martinez,43,842,1103319,4046019,Government,0,18,Personal Loan,0
Saanvi Nair,51,329,1600977,7088179,Contract,0,24,Auto Loan,1
Mary Martinez,61,569,755153,2160668,Contract,0,18,Business Loan,1
James Davis 52,33,410,1203212,2180417,Contract,0,60,Education Loan,1
Jennifer Verma,70,552,386783,1627394,Contract,11442,18,Auto Loan,1
Mary Rodriguez 84,69,476,405710,1847624,Self-employed,0,18,Business Loan,1
Amit Martinez,58,686,150000,323747,Salaried,1456,48,Business Loan,0
Rohan Martinez,54,658,1216741,2991786,Salaried,15580,6,Auto Loan,0
Ishaan Johnson,61,647,1504835,6760877,Contract,18911,18,Education Loan,1
Ishaan Rodriguez 47,22,608,428520,679536,Government,0,48,Auto Loan,0
Vikram Das,66,704,512793,1874533,Salaried,8473,18,Business Loan,1
Pari Malhotra,34,744,379907,1167208,Salaried,11540,36,Business Loan,0
Michael Garcia,48,663,751323,3634558,Salaried,6886,24,Auto Loan,1
Aarav Iyer 59,24,628,1172864,2137226,Salaried,0,48,Home Loan,0
James Khanna 30,68,391,209889,1031025,Government,6822,24,Auto Loan,1
Rahul Verma,53,664,763495,1011686,Business,0,12,Business Loan,1
Aditya Verma,54,627,505850,2449630,Self-employed,0,12,Home Loan,1
David Garcia,66,644,639240,1569013,Contract,5994,12,Personal Loan,1
Aarav Brown,26,830,786538,1741127,Contract,0,12,Business Loan,1
Amit Jones,26,589,533427,1553914,Government,1921,6,Education Loan,1
Amit Smith,68,405,561208,2198851,Salaried,9834,48,Education Loan,1
Inaya Williams,34,569,525273,1194668,Business,1828,60,Education Loan,0
Karan Reddy 61,35,777,1068952,1678969,Government,0,60,Business Loan,0
Jessica Brown,33,426,767778,3381470,Contract,11316,12,Home Loan,1
Arjun Johnson,27,639,681703,1296622,Self-employed,9974,36,Education Loan,0
Aarav Sethi,37,644,278571,1282295,Contract,3841,12,Business Loan,1
Anvi Iyer 5,46,548,475847,386607,Contract,5086,18,Auto Loan,1
Aditya Miller,30,369,1023973,4163099,Contract,20160,36,Education Loan,1
Aarav Joshi,46,727,610856,2801634,Government,11653,60,Education Loan,1
Barbara Das,33,697,887105,2895260,Salaried,20820,24,Education Loan,1
Patricia Iyer,64,846,1723567,8181062,Self-employed,28718,48,Education Loan,1
David Mehra,21,410,1113661,5061163,Self-employed,4837,6,Education Loan,1
Aadhya Garcia,66,687,631526,916723,Government,18415,18,Business Loan,1
Jennifer Miller,62,636,439505,135294,Business,6827,36,Education Loan,0
Patricia Das 2,69,683,150000,446247,Business,904,6,Home Loan,1
Deepak Mehra,35,763,539808,2350774,Salaried,15555,60,Auto Loan,1
Pari Singh 32,67,772,491094,2139631,Self-employed,9945,36,Education Loan,1
Robert Brown 52,59,729,754808,1297726,Self-employed,22381,12,Business Loan,0
Ishaan Martinez,52,440,544518,333349,Business,12335,48,Personal Loan,1
Barbara Nair,52,336,492755,644723,Salaried,0,60,Home Loan,0
Aarav Singh,40,310,205327,648255,Government,0,12,Education Loan,1
Patricia Singh,23,749,339768,1091013,Self-employed,0,60,Personal Loan,0
Jessica Malhotra 39,38,424,794915,998174,Government,3,18,Auto Loan,1
Rohan Verma,47,560,1672022,348992,Government,0,6,Auto Loan,0
Arjun Gupta,31,594,563253,417322,Self-employed,10835,6,Personal Loan,0
Ishaan Oberoi 21,67,423,727003,903644,Contract,3289,48,Education Loan,0
Pari Rodriguez,32,806,1057572,1396609,Salaried,0,6,Auto Loan,0
Amit Sharma 7,65,386,367127,1130246,Contract,0,48,Home Loan,1
Zara Bhatia,40,483,744217,3053317,Contract,0,18,Home Loan,1
David Smith,40,425,382967,1225197,Contract,7740,36,Personal Loan,1
Jessica Verma,62,405,1003389,720955,Business,6990,6,Business Loan,0
Amit Johnson,21,608,653986,2247404,Contract,17769,24,Auto Loan,1
Deepak Smith,61,326,714309,2255462,Self-employed,16799,12,Business Loan,1
David Johnson,34,766,373413,309149,Self-employed,0,48,Auto Loan,0
Jennifer Patel,27,735,912751,2130771,Salaried,4330,60,Education Loan,0
Aarav Verma,43,761,2086143,1724994,Self-employed,0,48,Home Loan,0
Myra Garcia,63,502,326195,90831,Contract,5959,24,Education Loan,0
Saanvi Nair 8,66,439,487060,2012687,Self-employed,5595,6,Auto Loan,1
James Joshi,45,832,686227,2299955,Business,2293,60,Business Loan,1
Aadhya Garcia,54,417,957272,3053668,Salaried,9266,60,Education Loan,1
Priya Joshi,51,336,426885,785131,Government,0,60,Business Loan,0
Deepak Iyer,46,825,150000,98562,Self-employed,0,18,Home Loan,0
Karan Sharma,29,727,1349863,4166388,Contract,8873,6,Personal Loan,1
James Singh,65,456,942511,384335,Business,10619,36,Personal Loan,1
Aditya Reddy,43,747,209867,401055,Contract,552,60,Business Loan,0
James Nair 5,37,603,414761,1580768,Business,9741,48,Education Loan,1
James Johnson,44,586,1530200,2657716,Business,4430,60,Education Loan,0
Robert Patel 74,39,600,1423569,6459732,Self-employed,0,36,Home Loan,1
Aadhya Johnson,50,603,1048828,991525,Contract,14345,12,Personal Loan,1
Aadhya Miller,22,611,537311,2615472,Contract,6803,18,Personal Loan,1
Priya Miller,63,365,627684,165894,Business,11794,12,Auto Loan,1
Patricia Martinez,67,589,552077,1120431,Self-employed,17696,24,Business Loan,1
Anvi Sharma,61,736,1175194,5130388,Salaried,0,48,Auto Loan,0
Karan Reddy,23,380,353095,661119,Business,0,48,Auto Loan,1
David Sharma,26,570,368251,1720551,Government,4176,12,Education Loan,1
Zara Sharma 48,69,785,1094890,4791854,Business,23968,6,Business Loan,1
Jessica Sharma 60,46,617,581509,154360,Self-employed,0,18,Auto Loan,0
Arjun Joshi,57,718,1365567,3285544,Government,28030,12,Auto Loan,1
Barbara Malhotra,39,505,399150,890446,Self-employed,4198,18,Business Loan,1
Nisha Nair 57,49,596,577886,307542,Self-employed,0,12,Business Loan,1
Aditya Bhatia 55,51,692,343365,1341877,Salaried,0,18,Auto Loan,1
Barbara Das 100,27,738,599839,2056159,Business,12216,36,Personal Loan,1
Pari Davis,40,805,245947,493544,Contract,3041,24,Business Loan,0
Aarav Oberoi 26,63,473,445708,1974823,Self-employed,6403,12,Home Loan,1
Michael Malhotra,35,719,252268,519407,Business,3521,12,Education Loan,0
James Miller,52,462,905600,2345252,Government,27985,48,Home Loan,1
Inaya Joshi 59,65,742,918000,1995695,Government,12750,6,Home Loan,1
David Johnson 17,33,561,211470,916302,Contract,5741,18,Business Loan,1
Zara Joshi,38,850,1329523,4846647,Self-employed,13350,36,Personal Loan,1
Barbara Smith,25,550,2672297,3146575,Salaried,1117,48,Home Loan,0
James Murthy 2,42,497,613910,2553039,Salaried,6715,36,Education Loan,1
Aditya Sharma,65,487,406496,681456,Contract,8195,24,Education Loan,1
Karan Sharma 76,49,667,3251406,8889363,Self-employed,71091,6,Auto Loan,1
Rohan Verma 10,46,715,270660,880309,Salaried,0,6,Business Loan,1
Anvi Oberoi,47,390,604443,1947058,Salaried,0,36,Personal Loan,1
Aadhya Davis,37,835,665153,2397030,Government,0,48,Auto Loan,0
Ishaan Khanna 32,53,770,1338538,695912,Self-employed,26698,12,Business Loan,1
Jessica Khanna 34,64,575,741064,1345721,Contract,21708,36,Personal Loan,1
Barbara Garcia,24,427,442776,1345576,Contract,0,24,Personal Loan,1
Robert Johnson,54,474,337489,1412049,Business,4520,12,Business Loan,1
Deepak Gupta 53,33,748,486458,1538690,Government,0,6,Business Loan,1
Karan Davis,43,705,326388,928374,Self-employed,0,60,Auto Loan,0
Michael Rodriguez,28,637,614580,2119064,Self-employed,0,6,Business Loan,1
Jennifer Reddy,28,544,425696,620255,Self-employed,0,24,Personal Loan,1
Linda Reddy,60,431,243671,1007971,Self-employed,3450,24,Education Loan,1
James Malhotra 85,53,759,1268172,455909,Business,0,18,Auto Loan,0
Arjun Johnson 61,46,356,443031,1104301,Salaried,9946,24,Personal Loan,1
Vikram Sethi,41,531,279042,427835,Government,3780,48,Personal Loan,0
Michael Smith 27,36,698,539848,156914,Salaried,0,48,Personal Loan,0
Karan Joshi,22,533,622203,2783840,Government,0,36,Auto Loan,0
Aditya Das,59,343,209424,240646,Salaried,0,48,Auto Loan,1
Deepak Gupta 44,67,839,728679,2754381,Business,0,36,Auto Loan,0
Michael Joshi,54,528,318604,957935,Salaried,9314,60,Home Loan,1
Anvi Gupta,33,570,1667135,3428032,Government,40878,36,Home Loan,1
Aarav Brown,51,314,817802,1105910,Contract,21672,18,Business Loan,1
Pari Johnson,54,830,469798,2016028,Business,479,18,Auto Loan,1
Priya Mehra,53,790,381894,1228803,Self-employed,0,36,Auto Loan,1
Anvi Jones,50,570,560743,2117160,Contract,123,6,Education Loan,1
Aditya Martinez,70,779,862572,1694560,Self-employed,6593,48,Education Loan,0
Diya Patel 55,21,329,588130,2550343,Business,0,6,Education Loan,1
Inaya Jones 38,68,838,524239,2312920,Contract,5239,12,Home Loan,1
Aarav Martinez 28,47,536,618481,871142,Salaried,14199,24,Education Loan,1
Michael Johnson 71,24,652,415685,1340551,Business,0,60,Home Loan,1
Ishaan Sethi,39,306,486054,1400065,Business,0,12,Personal Loan,1
Arjun Jones 45,54,792,170847,353048,Contract,0,36,Auto Loan,1
Barbara Sethi 50,41,810,1071141,535763,Salaried,32147,48,Business Loan,0
James Johnson 4,41,710,714457,1553655,Self-employed,4244,18,Business Loan,0
Ishaan Jones,69,804,375467,1053412,Government,0,12,Auto Loan,1
Diya Patel 55,70,328,1865875,2333858,Self-employed,6916,48,Home Loan,1
Amit Singh 62,60,819,629203,2716140,Business,14457,6,Education Loan,1
Zara Murthy,65,462,320716,804391,Government,8441,60,Education Loan,1
Deepak Martinez,28,328,998532,1990900,Government,0,12,Home Loan,1
Aarav Sethi,36,455,758295,3514763,Self-employed,0,12,Business Loan,1
Jennifer Williams 14,48,437,756719,1400596,Government,15495,48,Business Loan,1
Amit Verma,49,752,462566,1126534,Salaried,0,6,Auto Loan,1
Aditya Nair 19,62,775,782537,2077582,Government,2902,36,Education Loan,1
Rahul Johnson 99,70,574,510397,191902,Self-employed,12138,6,Education Loan,1
Jessica Das 70,68,775,833646,1295521,Self-employed,0,18,Personal Loan,0
Pari Garcia,56,597,190428,183558,Salaried,0,60,Auto Loan,0
Ishaan Gupta,50,647,460319,1049849,Business,0,36,Business Loan,1
Vikram Reddy 28,69,433,1678301,5752787,Salaried,55727,12,Home Loan,1
Ishaan Sharma,24,832,376909,250273,Business,0,36,Education Loan,0
Deepak Sharma,29,778,415690,549314,Contract,7921,12,Personal Loan,0
Pari Murthy 33,66,582,456444,1650190,Self-employed,6591,60,Home Loan,1
Deepak Johnson 58,22,336,288115,223860,Salaried,0,18,Business Loan,1
Linda Joshi,29,455,158741,300528,Self-employed,0,12,Business Loan,1
Zara Malhotra 5,48,728,520033,2409195,Business,0,24,Business Loan,1
Karan Patel 57,24,368,647915,2695857,Contract,21062,18,Auto Loan,1
Rahul Martinez,54,432,578675,2847096,Government,13266,24,Personal Loan,1
James Joshi 89,56,658,547475,2352967,Government,12557,48,Business Loan,1
Pari Das,42,817,612818,2361957,Business,16105,36,Business Loan,1
Myra Gupta,53,774,1103177,578954,Business,12675,24,Home Loan,1
Aditya Miller,52,371,532709,2123607,Business,0,48,Auto Loan,1
Robert Iyer,24,498,423178,1915202,Salaried,13168,6,Auto Loan,1
Amit Singh,50,600,504500,520660,Government,8514,24,Business Loan,1
Jennifer Davis 61,21,395,845436,4111795,Government,21067,24,Home Loan,1
Diya Iyer,35,697,1393342,1175039,Salaried,10780,12,Personal Loan,0
Nisha Murthy,30,812,409672,856682,Self-employed,1496,36,Personal Loan,0
David Gupta,33,673,633718,1921074,Self-employed,19564,12,Business Loan,1
Jennifer Khanna,54,842,731618,3311367,Business,0,36,Personal Loan,1
Arjun Brown,57,423,329210,1311218,Self-employed,0,12,Education Loan,1
Rahul Nair,65,768,604556,1048459,Salaried,17769,24,Personal Loan,1
Robert Khanna,42,604,247854,628110,Business,0,18,Personal Loan,1
Mary Nair,51,335,206606,831263,Self-employed,2061,36,Personal Loan,1
David Bhatia 61,56,770,744187,1985650,Government,8837,12,Business Loan,1
Mary Jones 97,40,650,474337,1228964,Business,0,60,Auto Loan,0
Karan Nair 89,57,653,674258,785761,Self-employed,0,18,Education Loan,0
Arjun Nair 49,58,622,590817,2771739,Business,12547,12,Business Loan,1
Aditya Singh,70,447,332421,1648146,Contract,0,60,Auto Loan,1
Zara Bhatia 66,57,663,581198,774844,Contract,18190,48,Auto Loan,0
Patricia Bhatia,57,701,284970,1196839,Contract,4069,12,Business Loan,1
Diya Joshi,67,549,1375851,1012718,Salaried,0,18,Business Loan,0
Aadhya Singh 89,41,405,264717,476631,Business,3610,6,Home Loan,1
Robert Nair,21,694,531006,298448,Business,0,60,Education Loan,0
Barbara Nair,36,751,319539,292889,Salaried,10603,18,Personal Loan,0
Vikram Bhatia,44,517,840920,470535,Salaried,0,60,Auto Loan,0
Amit Murthy,68,549,489500,1718407,Contract,8477,12,Business Loan,1
Aarav Singh,37,407,437485,1872727,Contract,8041,12,Education Loan,1
Barbara Bhatia 63,27,770,996416,4135405,Self-employed,0,24,Auto Loan,1
Nisha Miller,62,396,607834,1228930,Contract,0,48,Home Loan,1
Patricia Nair,31,468,814220,247834,Business,584,48,Business Loan,0
Pari Mehra,26,612,331440,1201334,Salaried,0,36,Home Loan,1
James Gupta,32,746,257071,436425,Contract,6312,60,Education Loan,1
Arjun Smith 22,68,741,636872,1091596,Contract,0,60,Business Loan,0
Michael Smith,50,843,493210,565482,Self-employed,8733,12,Home Loan,0
Deepak Miller,48,349,869662,344112,Salaried,3101,12,Home Loan,1
Pari Gupta 72,63,362,569238,2666840,Salaried,3158,12,Auto Loan,1
James Johnson 54,43,430,675389,3214041,Salaried,0,6,Business Loan,1
Ishaan Martinez 93,43,352,225476,82360,Contract,0,36,Business Loan,1
Pari Garcia,28,385,1854382,9019678,Salaried,52678,18,Personal Loan,1
Ishaan Miller,42,361,541151,2287971,Salaried,16331,24,Auto Loan,1
Diya Patel 25,57,356,907593,2747580,Self-employed,13275,36,Personal Loan,1
Nisha Martinez 14,59,395,361618,127026,Business,0,6,Auto Loan,1
Robert Verma 41,69,719,718417,365117,Contract,0,12,Auto Loan,0
Barbara Nair,31,778,273291,495011,Self-employed,6787,18,Business Loan,1
Aditya Singh,35,497,783276,3695701,Business,352,60,Education Loan,1
Priya Oberoi,47,496,482345,2223580,Government,4343,6,Auto Loan,1
Priya Joshi,44,658,607747,1434885,Salaried,473,60,Business Loan,0
Linda Murthy 60,25,359,907804,3889332,Government,0,6,Auto Loan,1
Rahul Sharma,66,657,285065,377231,Government,8165,6,Auto Loan,0
Priya Sharma,50,693,396053,1771069,Government,819,36,Auto Loan,1
Aadhya Reddy,49,604,785750,3796236,Salaried,0,18,Home Loan,1
Inaya Brown,46,708,2103120,2182720,Self-employed,24102,36,Education Loan,0
Priya Rodriguez 25,38,611,549712,2614776,Business,16523,36,Education Loan,1
Jessica Patel,44,846,851437,2693743,Government,0,60,Business Loan,0
Karan Verma,64,804,560070,1460368,Salaried,10099,48,Education Loan,0
Pari Smith 22,57,547,1915228,920229,Salaried,28772,24,Home Loan,0
Aditya Miller 78,62,305,209329,902147,Self-employed,181,60,Auto Loan,1
Diya Sharma,21,726,632080,1694683,Salaried,18923,60,Auto Loan,0
Patricia Gupta,69,766,225184,258629,Contract,0,24,Personal Loan,0
Aarav Nair 16,47,406,150000,386988,Self-employed,0,24,Education Loan,1
Aditya Iyer 43,35,499,713885,2747496,Salaried,3812,6,Education Loan,1
Aarav Sethi,68,625,649331,272495,Self-employed,0,60,Business Loan,0
Jennifer Khanna 63,28,652,503378,2306474,Business,0,60,Business Loan,0
David Martinez,51,562,560331,1604090,Self-employed,2782,36,Home Loan,1
Aditya Malhotra 14,41,446,3832315,8207794,Self-employed,0,48,Business Loan,1
David Garcia,64,773,511495,357586,Contract,10225,24,Home Loan,0
Inaya Davis,36,733,811041,1496435,Contract,19395,48,Education Loan,0
Patricia Rodriguez,28,654,404489,291340,Salaried,13437,36,Personal Loan,0
Amit Mehra,50,372,712930,3244382,Salaried,4684,60,Business Loan,1
Inaya Singh,53,387,517652,1410059,Contract,14148,60,Business Loan,1
Inaya Joshi,49,379,466815,389707,Business,0,6,Business Loan,1
Karan Nair,63,790,1778603,8523035,Self-employed,52898,18,Personal Loan,0
Rohan Martinez,40,512,1210217,1837112,Self-employed,21055,48,Auto Loan,0
Aditya Gupta,27,800,648260,1106115,Government,0,48,Home Loan,0
Mary Oberoi 65,25,734,150000,577728,Self-employed,0,6,Business Loan,1
Jennifer Johnson,39,538,480890,1123173,Salaried,0,24,Education Loan,1
Myra Smith,37,755,3023170,6517672,Contract,22078,60,Education Loan,0
Diya Singh,27,322,520009,1885274,Contract,2281,18,Home Loan,1
Aadhya Jones,55,442,1157682,4521703,Business,0,60,Business Loan,1
Pari Sethi,48,665,1418577,6132189,Business,1536,12,Education Loan,1
Mary Patel,49,498,681041,1523263,Business,22157,12,Personal Loan,1
Priya Brown 56,61,608,360377,201417,Business,10414,48,Home Loan,0
Barbara Joshi,60,385,150000,208239,Government,1208,36,Personal Loan,0
Ishaan Iyer,52,480,900313,952353,Salaried,28606,60,Personal Loan,1
Mary Smith 25,47,722,366277,986343,Contract,0,36,Auto Loan,1
Karan Murthy,38,603,663769,1695059,Self-employed,7340,6,Education Loan,0
Anvi Sethi,48,559,282125,700507,Government,399,6,Home Loan,1
Nisha Verma,45,593,509333,766087,Self-employed,9524,36,Business Loan,0
Rohan Bhatia,21,617,609400,611963,Business,19086,48,Auto Loan,1
Arjun Nair,49,537,701626,3438768,Salaried,0,6,Education Loan,0
Rohan Malhotra,61,785,305928,998881,Government,9867,12,Home Loan,1
Priya Mehra,56,791,1224626,4367051,Business,2091,36,Education Loan,1
James Smith 40,53,487,417426,635809,Business,12333,6,Personal Loan,1
Mary Mehra 52,49,346,218669,780747,Government,0,24,Education Loan,1
